sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0 (rad/s),mpc_max_omega1 (rad/s),mpc_max_omega2 (rad/s),mpc_max_omega3 (rad/s),mpc_max_omega4 (rad/s),mpc_max_omega5 (rad/s),mpc_max_omega6 (rad/s),mpc_max_omega7 (rad/s),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,circle_xy,False,3.0,0.02,60,10,True,149.0,4.6067339414980335,3.9173270001774654,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6562810522944037,0.7028282086432316,0.06983184172159848,0.44616978580485667,-0.5883574745220106,0.6383652672919687,-0.02338590983577201,0.3112036548024485,-0.9111946168760108,0.2440136770040885,-0.32163779846947754,0.3452116234302598,286.8444193375021,280.1690506397853,282.4755568131482,276.11798742255945,282.42621434611084,279.2286181073185,286.8905987753202,282.42428390762774,True,0.6147657000692561,4.578575127513002,-0.6278303578646229,0.7123363097332102,0.0470620054042149,0.4441140109961855,-0.6410021774874146,0.5953851703350459,-0.02132391627713987,0.31115043413444543,-0.7498993229516475,0.15744812153518872,-0.25916184214466026,0.2731305383961269,290.224548845857,285.00743217369046,285.98072675021643,279.054029833043,279.5734597968291,279.97525873578917,278.7898563412726,283.8029769886892,4.0,1.0,0.3277954345790846,6.630818594390658,4.40396846345472,5.404525138245064,4.559698776205176,5.734639250427995,5.095342644775318,5.938410261863797,5.302127462167111
2,circle_xy,False,3.0,0.02,60,10,True,149.0,5.834186296719633,4.3350104002747685,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7044972373372123,0.7165044784552834,-0.10794012951804989,0.464512452651288,-0.6701607350898109,0.7065532092920948,-0.05002010027249564,0.36278269389692863,-0.3007622883010892,1.168005258344551,0.45949344142197796,0.43471589401278704,282.3606034915905,288.8666503512163,281.97565493537263,293.8039642908001,289.1063441908155,298.41563464356176,289.05184909349157,294.1160704247966,True,0.6098485002294183,5.8781444488590155,-0.8400997192148889,0.673050990028914,-0.05293980895326141,0.3938359566045222,-0.6494596163001932,0.6647188903055924,-0.028751831575707588,0.3495636407802219,-0.16834867911752988,1.0710723774470952,0.30493854275380644,0.3754498786196248,263.24139628846575,257.5909188704582,255.5993557949291,261.4542498520477,262.63589409862226,272.41659323385045,261.884789071813,261.7273794098881,5.0,1.0,0.5811461968870228,14.705763035779341,18.097995068475374,14.114102633162757,18.913964826930687,16.550481652468346,18.40881443531718,16.42167852216127,15.58561339752311
3,circle_xy,False,6.0,0.02,60,10,True,299.0,4.13477471394043,8.87506119988393,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7188227628027235,0.7191624035652355,0.03472424912845384,0.5721597180490448,-0.7097729997233357,0.7099554434828029,0.008534366372889284,0.5368875922008953,-1.0912069712868668,0.06615691584954825,-0.6378167675657336,0.2823696936553298,314.4550881107169,315.6600839281071,305.7900445835535,295.0869488632545,299.9262744705972,301.35312549238944,293.0713798623661,314.244784721794,True,1.9947458989918232,4.143623046455616,-0.7543768688566832,0.7722470266784779,0.015811281424147883,0.5646047787392078,-0.7675061333675443,0.779566509603323,0.0186872716891936,0.5305562957163855,-1.1424145399080519,0.0659069102552093,-0.5907416043972347,0.29492634675672924,303.7003050935097,309.4919542559464,294.6100707892285,296.83883182455156,296.1444780148115,297.48606865757,303.22386262416586,303.7614272738251,4.0,2.0,0.603486877134648,9.346614048859736,9.695086249647787,15.854137521086056,10.457609795928256,9.42869897600483,10.867517101457224,10.914703609255103,11.661492759344636
4,circle_xy,False,6.0,0.02,60,10,True,299.0,5.210680709613263,8.42927980038803,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7239265643807433,0.7234224158877266,0.023210629224835532,0.586041049168989,-0.7106732578877073,0.7092778253900289,0.0037555057342677383,0.559603420359591,-1.1603389382954605,0.07708703404645106,-0.6243418863595666,0.28861702492696517,339.2188759668467,335.7418686258352,322.94804836836045,320.6857399608994,329.14859556631353,327.77069533931757,316.0172368364978,337.13059180618006,True,1.4644024000735953,5.286846197430639,-0.7968768769304296,0.7594896108356436,-0.018079011809503845,0.5582949198180506,-0.7835068439982383,0.8163594700024472,0.02065780748471604,0.5410870119251329,-1.2434967116895435,0.5088044796606621,-0.4590946493943104,0.4724385142153922,311.0776408699914,320.8018691030957,297.9596650431108,306.0547998266377,311.4279182791001,301.1243928137476,313.45970377220414,310.9313218782066,5.0,2.0,1.1388312527187148,19.086662548489933,15.0834296875939,22.311059811813944,15.44306789876822,20.193904251476862,19.36278778035351,18.811938731494067,21.67316850338823
5,circle_xy,False,9.0,0.02,60,10,True,449.0,3.470848332323374,11.845789899642114,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.713000031553729,0.723096422490459,-0.0167243225826638,0.559844271166127,-0.7104450811118499,0.7094242352166151,-0.027327299462135045,0.5724159906808538,-0.4050048770502301,0.9213878850404954,0.43323033657349647,0.3092611566958155,304.7875580235185,314.69337899037464,312.52653183280637,312.9517966160149,307.56260563075756,306.01699970464347,306.5692265283369,310.5764340515086,True,2.0934398997342214,4.000098310106391,-0.774879243581921,0.7951696977782938,-0.13592557682771997,0.504967224514236,-0.7565614557352371,0.7734701741570057,0.043549427707512973,0.6091292040271651,-0.3540677437895938,1.1725422864802377,0.3137171889137302,0.4302680207660652,323.1617084817184,316.77861436762703,326.6798093600635,321.7725951450814,323.4059157160642,324.4156913718664,327.18546470313737,320.819396869046,4.0,3.0,1.7411498815239208,30.435421847844722,32.439423612733705,33.393441900057155,33.96562814910471,30.268190310109407,36.06207104567185,30.471523507008822,32.402283130918924
6,circle_xy,False,9.0,0.02,60,10,True,449.0,4.679865654556341,11.64727900014259,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7241601591784289,0.7283215371361659,-0.019173647198623484,0.5879237936126388,-0.7114978710929304,0.7114892940326277,-0.03948689177765197,0.6142316847447323,-1.087003988929495,0.388096164284173,-0.41289562787636275,0.35434268022893234,331.0928081741744,329.9183459018281,336.3628366726211,334.4923013627556,328.28837368141853,332.0540581060052,342.77078776290165,324.2322411370234,True,2.153940000454895,4.4499839896109,-0.8150610143617895,0.7546751725768448,-0.06059259979017152,0.5688402141006009,-0.7598204648826947,0.7657743625260186,-0.021335423235943014,0.6159749549503296,-1.0913097036919879,0.4342414361814715,-0.4584704922306082,0.3645554802294863,314.8521346608588,328.65398833778016,323.8927139406191,318.14197421588824,324.3805483940048,312.1667494210842,322.2773132668497,312.0542858744271,5.0,3.0,1.7618832169371454,48.16883906429988,42.3880093108629,47.68206181276587,43.57039324902963,47.750145098047206,42.726266955276806,46.66294242635027,42.958033695816205
7,circle_xy,False,12.0,0.02,60,10,True,599.0,3.0475755821758654,20.584007499099243,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7205166968805333,0.7198874134860686,-0.07217730315812473,0.5165724706514323,-0.710008973106024,0.7014440839306769,0.16331869616972416,0.4709413522185625,-0.3077006850638531,0.9832971357663042,0.2338516614467309,0.33850272888885713,313.5348726748206,333.94709775117144,329.0609452565781,331.56918050898963,322.51058113384465,330.519631777785,329.53375495653916,333.9477674162549,True,2.781428800779395,3.4350347481082197,-0.7638422809776868,0.7217809677739678,-0.12107586678085001,0.5128051022411072,-0.7317586688870978,0.7236319788968615,0.0927495638490731,0.5049447360614618,-0.4307449082625864,0.9406082104760742,0.20592804391279007,0.4056241747750765,328.46052073153174,319.3349185497468,332.8733082894234,321.61334102661044,328.50156084909236,324.98969881055257,328.96011278480455,325.60808687657493,4.0,4.0,1.3410505550265874,40.74798424201768,34.39759159532934,34.173685649908464,36.76667804383062,36.13226676650801,37.47096009952519,34.258322762532195,35.542376580892515
8,circle_xy,False,12.0,0.02,60,10,True,599.0,4.423945396889942,18.634447000396904,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7333151654304912,0.7235056395686482,0.04352571336764954,0.5901478199971704,-0.7104022788702815,0.710628197761884,-0.08249445212129232,0.5532669708355415,-1.0018427157649767,0.47996619908577765,-0.23163025878804763,0.38485920191134054,342.7707879842586,341.4667644111488,342.77078797489605,340.56742782472077,342.2457645525465,341.84435183234865,342.7707879680928,341.8973999014164,True,4.1521767998929136,4.117594856493387,-0.7433210820199492,0.7716798058870834,0.116090475643888,0.5783558429562211,-0.7382478225475334,0.7436764693503755,0.08677398175946624,0.5516028110986806,-1.0430471953054212,0.45676423076238853,-0.2582560305180259,0.3545225655382766,322.920105650613,326.09314240377086,328.22701576837306,326.5347093762101,326.7256081506423,329.34151282873165,325.03419457271576,328.3691461387187,5.0,4.0,2.3507692651747343,48.23405791210896,46.43503237895551,46.432690038091735,45.57090686209067,46.30612103478903,45.380274327398276,48.327402046775426,45.2271195150964
9,circle_xy,False,15.0,0.02,60,10,True,749.0,2.1221888816133,19.618368300551083,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7129400409956613,0.7072030925154958,0.003353305054675764,0.4745951971619745,-0.6037906391994758,0.7018800779855686,0.061541985367604655,0.4230710040185402,-0.45074615478943214,0.8575037430018678,0.19327024758997965,0.2810899518419017,293.21205199757645,304.0419219957019,295.1616063245772,303.07425676580027,293.9310511968493,302.0322586475849,292.6891123100029,303.20587440777945,True,3.3594661995302886,2.478503791475703,-0.7104984459597335,0.7495981036795968,-0.00522376764531401,0.46953952162200435,-0.6813515167925386,0.7188029315545645,0.06837115519764751,0.4695123241133146,-0.8716098574641595,0.9226526591502103,0.15655649861337226,0.3471851153273808,307.3990181258648,305.20698099877904,313.94380938197617,309.8728406758436,307.91651669471673,307.41246847048507,311.3134841554688,304.2496687476844,4.0,5.0,0.6927619368657157,16.921182050391522,16.72621783127414,16.977609378969227,16.932229379391025,16.96085909287521,16.922256095462632,17.37483471964816,16.383280276950643
10,circle_xy,False,15.0,0.02,60,10,True,749.0,3.1193479845073284,20.894746699137613,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7208772799291988,0.7384053543046923,0.015902279803143873,0.5324807992430816,-0.7083570689114841,0.703469904628438,-0.001459478686290602,0.4830336207896886,-0.8423080669814924,0.9395157273089141,0.19522970528922254,0.34910504073728277,329.2875225790195,328.7741381741271,341.5757329098585,337.76306036409534,328.3006684990099,332.8042201206693,335.46732721989997,337.0239382616572,True,3.995202900550794,6.069130650981458,-0.7764130699139663,0.7740644261100865,0.01402230362266903,0.5421881369241347,-0.769459870617341,0.7850957947325703,-0.04117299068020794,0.5488555376413423,-1.232291265755924,1.3967541765079352,0.08534806861808998,0.6084824770025485,328.47749870735055,326.1818441551298,335.2164150231509,330.139459056556,326.7786269293129,326.8958225866718,330.4811704264593,324.73422061505414,5.0,5.0,4.400338901050224,41.56838247064134,52.40954374377535,41.84348351826868,58.57119202708924,41.138230070484255,49.87775623445948,46.71396693382111,47.108416201437855
